BUILDING_NUMBER,CLUSTER_NUM,LOG_BUILDING_VOLUME,LOG_BUILDING_HEIGHT,LOG_EXT_GROSS_AREA,LOG_GJ,LOG_GHG,ACCESS_LEVEL_CODE,ACCESS_LEVEL_NAME,ASSIGNABLE_AREA,BILLING_FY,BLDG_SRV,BLDG_SRV_PER,BUILDING_GROUP_LEVEL1,BUILDING_HEIGHT,BUILDING_NAME_LONG,BUILDING_TYPE,BUILDING_USE,BUILDING_VOLUME,CAMPUS_SECTOR,CIRCULAT,CIRCULAT_PER,CLASSRMS,CLASSRMS_PER,COST_CENTER_CODE,COST_COLLECTOR_ID,COST_COLLECTOR_KEY,COST_COLLECTOR_NAME,COST_ELEMENT_CATEGORY,CURRENT_BUILDING,DATE_ACQUIRED,DATE_BUILT,DATE_OCCUPIED,DLC_KEY,DLC_NAME,END_DATE,EXT_GROSS_AREA,GENERAL,GENERAL_PER,GHG,GJ,GL_ACCOUNT_ID,GL_ACCOUNT_KEY,GL_ACCOUNT_NAME,GL_ACCOUNT_TYPE_DESCRIPTION,HEALTH,HEALTH_PER,LABS,LABS_PER,LATITUDE_WGS,LEVEL1_CATEGORY,LEVEL2_CATEGORY,LEVEL3_CATEGORY,LONGITUDE_WGS,MECHANIC,MECHANIC_PER,METER_STATUS,MMBTU,NON_ASSIGNABLE_AREA,NUMBER_OF_BTU,NUMBER_OF_UNITS,NUM_OF_ROOMS,OCCUPANCY_CLASS,OFFICES,OFFICES_PER,ON_OFF_CAMPUS_STATUS,ORGANIZATION_ID,ORGANIZATION_NAME,OWNERSHIP_TYPE,PI_CONNECTION,PROFIT_CENTER_ID,PROFIT_CENTER_KEY,PROFIT_CENTER_NAME,RESIDENT,RESIDENT_PER,SCHOOL_AREA,SCHOOL_NAME,SITE,SPECIAL,SPECIAL_PER,START_DATE,START_DATE_USE,START_DATE_USE_YEAR,STRUCT_AREA,STUDY,STUDY_PER,SUPPORT,SUPPORT_PER,UNCLASS,UNCLASS_PER,UNIT_OF_MEASURE,USEABLE_AREA,USE_FY,YEAR_CONST_BEGAN,YEAR_OCCUPIED,kBTU
1,Office & Mixed Use,5.427272110298091,1.394639367556764,4.032632742741327,4.305485836458416,3.0409434750040876,2.0,2.0,76080.35,2023.0,2154.71,2.05269456947773,Non-CUP,24.810720000000003,Henry L Pierce Engineering Laboratory,ACADEMIC,AER,267468.17246356304,MAIN GROUP,19513.62,18.5897414523773,13107.48,12.4869021889432,1810100.0,1810100,C1810100-001,1; Henry L Pierce Engineering Laboratory,Internal activity allocation,Yes,,12/31/1913,12/31/1917,D_FACILITIES,Department of Facilities,2023-01-31,10780.34706222,147.58,0.14059277794391,1098.8628091599999,20206.25532742712,600750,600750-001,Steam-not MTDC,Secondary Cost Elements,0.0,0.0,28105.06,26.7744169920062,42.3580859,Building Usage,Produced,Steam,-71.09235723,7221.15,6.87926235566924,Chilled Water Only,19151.759452,28889.48,2172500000.0,1975.0,406.0,UGBA3,34612.6,32.9738554401774,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-01-01,2022-12-01,2023,11068.91,0.0,0.0,107.63,0.102534223404954,0.0,0.0,MLB,104969.83,2023.0,1913.0,1917.0,19151759.452
10,Office & Mixed Use,5.785571536453728,1.6577837858042128,4.1277877506495155,4.3641242887355185,3.0796594536283783,2.0,2.0,85540.82,2023.0,1476.08,1.14900386919316,Non-CUP,45.47616,Richard Cockburn MacLaurin Buildings (10),ACADEMIC,AER,610339.5827517168,MAIN GROUP,25779.02,20.0667942957074,5249.28,4.08612204655455,1811000.0,1811000,C1811000-001,10; Richard Cockburn Maclaurin Buildings,Internal activity allocation,Yes,,07/01/1913,12/31/1916,D_FACILITIES,Department of Facilities,2023-06-30,13421.08882438,2428.93,1.89071728361561,1201.322064114,23127.265640289123,600750,600750-001,Steam-not MTDC,Secondary Cost Elements,0.0,0.0,9245.09,7.19652334632198,42.35967738,Building Usage,Produced,Steam,-71.09201647,15670.14,12.1978832385768,Chilled Water Only,21920.332152,42925.24,350900000.0,319.0,569.0,UGA3B,46218.23,35.9769965701447,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-06-01,2023-05-01,2023,15997.4,21986.92,17.1149640613248,412.37,0.320995288561041,0.0,0.0,MLB,128466.06,2023.0,1913.0,1916.0,21920332.152
11,Office & Mixed Use,4.7401507893275765,1.3443529692385567,3.39579782008902,4.017677663681657,2.6019545698626847,2.0,2.0,18978.82,2024.0,14.0,0.0587275419587313,Non-CUP,22.098000000000003,Homberg Building,ACADEMIC,AER,54973.17104662572,MAIN GROUP,3277.76,13.7496277093322,0.0,0.0,1811100.0,1811100,C1811100-001,11; Homberg Building,Internal activity allocation,Yes,,06/01/1927,12/31/1928,D_FACILITIES,Department of Facilities,2023-12-31,2487.69893414,0.0,0.0,399.902915026,10415.44101328012,600752,600752-001,Electricity-not MTDC,Secondary Cost Elements,0.0,0.0,0.0,0.0,42.35952201,Building Usage,Produced,Electricity,-71.09277267,1568.32,6.57882704319411,No Individual Metering,9871.894502,4860.08,62048340.0,18180.0,182.0,UGB,16163.91,67.8047644815826,On Campus,591026,Dof Buildings,OWNED,N,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-12-01,2023-11-01,2023,2938.48,0.0,0.0,2814.91,11.8080532239323,0.0,0.0,KWH,23838.9,2024.0,1927.0,1928.0,9871894.502
13,Lab & Mixed Use,5.555253286459922,1.3234930100417612,4.231760276418161,4.991925890841629,3.7480846356687514,2.0,2.0,96326.43,2024.0,2522.57,1.49430692265789,Non-CUP,21.06168,Vannevar Bush Building,ACADEMIC,AER,359131.323861661,MAIN GROUP,42250.99,25.0284221433495,2578.22,1.52727258079459,1811300.0,1811300,C1811300-001,13; Vannevar Bush Building,Internal activity allocation,Yes,,04/01/1963,06/01/1965,D_FACILITIES,Department of Facilities,2023-12-31,17051.40918776,0.0,0.0,5598.6669815072,98158.04292488172,600751,600751-001,Chilled Water-not MTDC,Secondary Cost Elements,0.0,0.0,60778.75,36.0038004398264,42.35994386,Building Usage,Produced,Chilled Water,-71.09255152,27712.05,16.4159203336444,Fully Metered,93035.507862,72485.61,1133748000.0,94479.0,578.0,UGB,32228.42,19.0913041510546,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-12-01,2023-11-01,2023,14727.88,0.0,0.0,741.04,0.438973428672505,0.0,0.0,THR,168812.04,2024.0,1963.0,1965.0,93035507.862
14,Office & Mixed Use,5.454061145412611,1.3315876218096752,4.122473523602936,4.336644144743161,3.0712403556859598,2.0,2.0,88319.84,2024.0,3324.56,2.42727665058952,Non-CUP,21.45792,Charles Hayden Memorial Library,ACADEMIC,AER,284486.1614476249,MAIN GROUP,30325.77,22.140985102434,4197.1,3.06432214494227,1811400.0,1811400,C1811400-001,14; Charles Hayden Memorial Library,Internal activity allocation,Yes,,04/05/1948,12/31/1951,D_FACILITIES,Department of Facilities,2023-10-31,13257.86289853,1078.3,0.787271823137702,1178.257887468,21709.216249131703,600752,600752-001,Electricity-not MTDC,Secondary Cost Elements,0.0,0.0,2351.37,1.71674612517045,42.35918261,Building Usage,Produced,Electricity,-71.089304,14996.5,10.9490140922605,Chilled Water & Electric,20576.285945,48646.83,283835319.0,83163.0,92.0,UGA3,32048.58,23.3988166610169,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,353.65,0.258201502599136,2023-10-01,2023-09-01,2023,5739.84,46368.31,33.8537178424503,1922.53,1.40364805539917,0.0,0.0,KWH,136966.67,2024.0,1948.0,1951.0,20576285.945
16,Lab & Mixed Use,5.606078683290068,1.573566845554017,4.032511837736051,4.6979798877916314,3.4319530078408182,2.0,2.0,57891.59,2024.0,2877.56,2.74517346081739,Non-CUP,37.459920000000004,Dorrance Building,ACADEMIC,AER,403718.5300349836,MAIN GROUP,28142.23,26.8475037615963,9231.58,8.80686707398372,1811600.0,1811600,C1811600-001,16; Dorrance Building,Primary cost element,Yes,,11/01/1950,06/01/1952,D_FACILITIES,Department of Facilities,2023-08-31,10777.34629532,315.74,0.301213899455957,2703.6658023265,49886.138461884046,421148,421148-001,Gas C - THERM - not MTDC,Expenses - Primary Cost Elemen,0.0,0.0,26651.34,25.4252044312615,42.36043478,Building Usage,Purchased,Gas,-71.09059277,15911.14,15.1791237226504,Steam Only,47282.750234,46930.93,0.0,5.0,375.0,UGBA3,21355.55,20.3730553320031,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-08-01,2023-07-01,2023,11183.92,0.0,0.0,337.38,0.321858318231617,0.0,0.0,THM,104822.52,2024.0,1950.0,1952.0,47282750.234
17,Lab & Mixed Use,4.12490124591438,0.8264376434897691,3.29846360242461,2.86835844771712,1.5842747192511495,2.0,2.0,6365.52,2023.0,153.78,1.43044110383395,Non-CUP,6.7056000000000004,Wright Brothers Wind Tunnel,ACADEMIC,AER,13332.182376173234,MAIN GROUP,3140.43,29.2118621128447,0.0,0.0,1811700.0,1811700,C1811700-001,17; Wright Brothers Wind Tunnel,Internal activity allocation,Yes,,12/01/1937,01/01/1939,D_FACILITIES,Department of Facilities,2023-06-30,1988.2161739700002,0.0,0.0,38.395004184,738.51351549012,600751,600751-001,Chilled Water-not MTDC,Secondary Cost Elements,0.0,0.0,5722.67,53.2315150973952,42.360113,Building Usage,Produced,Chilled Water,-71.09349326,1090.8,10.1464764992982,No Individual Metering,699.973002,4385.01,22380000.0,1865.0,42.0,UGB,642.85,5.97970518662801,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-06-01,2023-05-01,2023,10650.46,0.0,0.0,0.0,0.0,0.0,0.0,THR,10750.53,2023.0,1937.0,1939.0,699973.002
18,Lab & Mixed Use,5.494734313966214,1.400468911217488,4.094265402748726,4.864200286522936,3.624244290344896,2.0,2.0,75660.41,2023.0,1290.79,1.10441575500467,Non-CUP,25.146,Camille Edouard Dreyfus Building,ACADEMIC,AER,312416.7526972998,MAIN GROUP,21045.3,18.0066167918869,0.0,0.0,1811800.0,1811800,C1811800-001,18; Camille Edouard Dreyfus Building,Internal activity allocation,Yes,,05/01/1967,12/15/1969,D_FACILITIES,Department of Facilities,2023-04-30,12424.1132863,0.0,0.0,4209.6335339373,73147.63456012873,600750,600750-001,Steam-not MTDC,Secondary Cost Elements,0.0,0.0,64338.97,55.049211822816,42.36006975,Building Usage,Produced,Steam,-71.08982131,18878.87,16.1529927135204,Fully Metered,69330.307812,41214.96,3389100000.0,3081.0,529.0,UGB,11321.44,9.68676291677194,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-04-01,2023-03-01,2023,16856.73,0.0,0.0,0.0,0.0,0.0,0.0,MLB,116875.37,2023.0,1967.0,1969.0,69330307.812
2,Office & Mixed Use,5.4934253430986,1.4009950099879451,4.092430333110655,4.7033371175430325,3.5183261191614457,2.0,2.0,73699.9,2024.0,2369.95,2.02987525511017,Non-CUP,25.176479999999998,THE SIMONS BUILDING,ACADEMIC,AER,311476.5409726366,MAIN GROUP,26166.93,22.4121199642186,9760.72,8.36011055088037,1810200.0,1810200,C1810200-001,2; Building 2,Internal activity allocation,Yes,,07/01/1913,12/31/1916,D_FACILITIES,Department of Facilities,2023-08-31,12371.72714266,0.0,0.0,3298.57314706,50505.31888537898,600750,600750-001,Steam-not MTDC,Secondary Cost Elements,0.0,0.0,22451.38,19.2297308825399,42.35881273,Building Usage,Produced,Steam,-71.09018269,14516.7,12.4336336698486,Chilled Water & Electric,47869.617733,43053.58,669900000.0,609.0,384.0,UGBA3,41173.38,35.2652272120711,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-08-01,2023-07-01,2023,16414.74,0.0,0.0,314.42,0.269302465331226,0.0,0.0,MLB,116753.48,2024.0,1913.0,1916.0,47869617.733
24,Office & Mixed Use,5.269059946401413,1.408810958465475,3.860248987935938,4.232115039747572,2.998383565638166,2.0,2.0,48947.41,2023.0,1363.82,1.91828193773735,Non-CUP,25.63368,Building 24,ACADEMIC,AER,185806.09086797835,MAIN GROUP,16322.34,22.9581982986082,6798.69,9.56270198946747,1812400.0,1812400,C1812400-001,24; Building 24,Internal activity allocation,Yes,,12/31/1941,12/31/1941,D_FACILITIES,Department of Facilities,2023-02-28,7248.51409817,1011.35,1.42251502231282,996.284940308,17065.343709931003,600752,600752-001,Electricity-not MTDC,Secondary Cost Elements,0.0,0.0,8946.74,12.5840431608513,42.3606665,Building Usage,Produced,Electricity,-71.09201464,4462.34,6.27650732651147,Fully Metered,16174.76135,22148.5,573223589.0,167953.0,316.0,UGB,29619.57,41.6614260932872,On Campus,591026,Dof Buildings,OWNED,Y,P591026,P591026-001,Dof Buildings,0.0,0.0,Facilities Area,PHYSICAL PLANT - NORMAL EXPENSES,MIT,0.0,0.0,2023-02-01,2023-01-01,2023,6926.48,0.0,0.0,2571.06,3.6163261712242,0.0,0.0,KWH,71095.91,2023.0,1941.0,1941.0,16174761.35
