BUILDING_NUMBER,BUILDING_NAME_LONG,START_DATE_USE_YEAR,BUILDING_GROUP_LEVEL1,GJ,LOG_GJ
1,Henry L Pierce Engineering Laboratory,2009,Non-CUP,30226.9657635898,4.480394554115737
1,Henry L Pierce Engineering Laboratory,2010,Non-CUP,31477.441215716004,4.49799942155676
1,Henry L Pierce Engineering Laboratory,2011,Non-CUP,30824.036233690193,4.48888950651891
1,Henry L Pierce Engineering Laboratory,2012,Non-CUP,24808.60366168014,4.3946023209391605
1,Henry L Pierce Engineering Laboratory,2013,Non-CUP,34467.95945516736,4.537415573411071
1,Henry L Pierce Engineering Laboratory,2014,Non-CUP,30515.606269714204,4.484522002736847
1,Henry L Pierce Engineering Laboratory,2015,Non-CUP,28447.98943716994,4.454051578035211
1,Henry L Pierce Engineering Laboratory,2016,Non-CUP,23419.807556904085,4.369583322106198
1,Henry L Pierce Engineering Laboratory,2017,Non-CUP,28826.235521173163,4.4597879306598305
1,Henry L Pierce Engineering Laboratory,2018,Non-CUP,30434.16878757335,4.4833614448798995
1,Henry L Pierce Engineering Laboratory,2019,Non-CUP,34366.84388476035,4.536139650078162
1,Henry L Pierce Engineering Laboratory,2020,Non-CUP,13900.293304395818,4.143023964220765
1,Henry L Pierce Engineering Laboratory,2021,Non-CUP,14728.65458551591,4.168163077272181
1,Henry L Pierce Engineering Laboratory,2022,Non-CUP,20800.08446621633,4.318065098575126
1,Henry L Pierce Engineering Laboratory,2023,Non-CUP,19097.562323063492,4.28097793598043
1,Henry L Pierce Engineering Laboratory,2024,Non-CUP,14309.419596428665,4.155622018722721
10,Richard Cockburn MacLaurin Buildings (10),2009,Non-CUP,42101.97673018764,4.624302486877451
10,Richard Cockburn MacLaurin Buildings (10),2010,Non-CUP,41240.27289463988,4.615321530429232
10,Richard Cockburn MacLaurin Buildings (10),2011,Non-CUP,39270.97631900106,4.594071698435787
10,Richard Cockburn MacLaurin Buildings (10),2012,Non-CUP,32463.105834615515,4.511390067625433
10,Richard Cockburn MacLaurin Buildings (10),2013,Non-CUP,45782.06187592246,4.660695347997128
10,Richard Cockburn MacLaurin Buildings (10),2014,Non-CUP,39841.555850713106,4.600336289696086
10,Richard Cockburn MacLaurin Buildings (10),2015,Non-CUP,36260.78723846221,4.559437228595914
10,Richard Cockburn MacLaurin Buildings (10),2016,Non-CUP,30039.263020365033,4.477689273534696
10,Richard Cockburn MacLaurin Buildings (10),2017,Non-CUP,39237.66382944489,4.593703142026362
10,Richard Cockburn MacLaurin Buildings (10),2018,Non-CUP,41143.320076630625,4.614299334339299
10,Richard Cockburn MacLaurin Buildings (10),2019,Non-CUP,63684.39524932075,4.80403302908035
10,Richard Cockburn MacLaurin Buildings (10),2020,Non-CUP,23487.658286187216,4.370839719881803
10,Richard Cockburn MacLaurin Buildings (10),2021,Non-CUP,21171.10992945175,4.325743627202228
10,Richard Cockburn MacLaurin Buildings (10),2022,Non-CUP,24114.24291184674,4.382273631409521
10,Richard Cockburn MacLaurin Buildings (10),2023,Non-CUP,22925.6374266135,4.360321419675202
10,Richard Cockburn MacLaurin Buildings (10),2024,Non-CUP,21292.608070462986,4.3282288601813415
11,Homberg Building,2009,Non-CUP,8026.228401101201,3.904511514222457
11,Homberg Building,2010,Non-CUP,9384.778192200907,3.972424012594919
11,Homberg Building,2011,Non-CUP,7585.873055097775,3.8800055707775503
11,Homberg Building,2012,Non-CUP,6362.391906395841,3.8036204169786703
11,Homberg Building,2013,Non-CUP,9738.614152724937,3.98849715927632
11,Homberg Building,2014,Non-CUP,9708.50683316132,3.987152440620296
11,Homberg Building,2015,Non-CUP,10757.899348039356,4.031727476663098
11,Homberg Building,2016,Non-CUP,12958.473239478491,4.112553836200543
11,Homberg Building,2017,Non-CUP,16663.97917412269,4.221778714178693
11,Homberg Building,2018,Non-CUP,14219.194331578668,4.152874989694581
11,Homberg Building,2019,Non-CUP,12812.907629087567,4.107647695238646
11,Homberg Building,2020,Non-CUP,8889.39654971822,3.9488722802027594
11,Homberg Building,2021,Non-CUP,14030.369779120272,4.147069117280332
11,Homberg Building,2022,Non-CUP,19669.682061177264,4.293797340082415
11,Homberg Building,2023,Non-CUP,10056.615923100091,4.002451864102338
11,Homberg Building,2024,Non-CUP,10731.79143915538,4.030672224034928
13,Vannevar Bush Building,2009,Non-CUP,94480.16627619063,4.975340648923499
13,Vannevar Bush Building,2010,Non-CUP,94104.30260958208,4.97360948056733
13,Vannevar Bush Building,2011,Non-CUP,91782.36253763302,4.9627592325246
13,Vannevar Bush Building,2012,Non-CUP,87128.41245506032,4.940159800935391
13,Vannevar Bush Building,2013,Non-CUP,86186.44331001287,4.9354389588795335
13,Vannevar Bush Building,2014,Non-CUP,77868.5817049005,4.891362264546605
13,Vannevar Bush Building,2015,Non-CUP,76018.10567175524,4.880917043028805
13,Vannevar Bush Building,2016,Non-CUP,82384.8529475586,4.91584737084775
13,Vannevar Bush Building,2017,Non-CUP,82493.81204729444,4.916421372858967
13,Vannevar Bush Building,2018,Non-CUP,83818.93713468037,4.923342149465256
13,Vannevar Bush Building,2019,Non-CUP,80855.81887933872,4.907711279854695
13,Vannevar Bush Building,2020,Non-CUP,78803.13267398148,4.8965434824131755
13,Vannevar Bush Building,2021,Non-CUP,93643.76017986558,4.971478844073923
13,Vannevar Bush Building,2022,Non-CUP,94399.77137323136,4.97497094248171
